"Author","Quote"
"Donald Trump","Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game."
"Eleanor Roosevelt","Friendship with oneself is all important because without it one cannot be friends with anybody else in the world."
"Robert Fulghum","Peace is not something you wish for. It's something you make, something you do, something you are, and something you give away."
"Bruce Lee","A wise man can learn more from a foolish question than a fool can learn from a wise answer."
"Arthur Schopenhauer","Every man takes the limits of his own field of vision for the limits of the world."
"Andre Gide","One does not discover new lands without consenting to lose sight of the shore for a very long time."
"Sai Baba","What is new in the world? Nothing. What is old in the world? Nothing. Everything has always been and will always be."
"Dalai Lama","Genuine love should first be directed at oneself. if we do not love ourselves, how can we love others?"
"Tom Lehrer","Life is like a sewer. What you get out of it depends on what you put into it."
"Bruce Lee","Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind."
"Alfred Sheinwold","Learn all you can from the mistakes of others. You won't have time to make them all yourself."
"Sri Chinmoy","Judge nothing, you will be happy. Forgive everything, you will be happier. Love everything, you will be happiest."
"Johann Wolfgang von Goethe","People are so constituted that everybody would rather undertake what they see others do, whether they have an aptitude for it or not."
"James Freeman Clarke","We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life."
"Anais Nin","The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery."
"Marcus Aurelius","Everything that happens happens as it should, and if you observe carefully, you will find this to be so."
"Wayne Dyer","What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds."
"Buddha","In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves."
"Sydney Smith","It is the greatest of all mistakes to do nothing because you can only do little, do what you can."
"Confucius","When you see a man of worth, think of how you may emulate him. When you see one who is unworthy, examine yourself."
"Mary Kay Ash","Aerodynamically the bumblebee shouldn't be able to fly, but the bumblebee doesn't know that so it goes on flying anyway."
"Lloyd Jones","Those who try to do something and fail are infinitely better than those who try nothing and succeed."
"Vista Kelly","Snowflakes are one of natures most fragile things, but just look what they can do when they stick together."
"Ben Stein","The first step to getting the things you want out of life is this: decide what you want."
"","Why compare yourself with others? No one in the entire world can do a better job of being you than you."
"Aldous Huxley","Experience is not what happens to a man. It is what a man does with what happens to him."
"","A good teacher is like a candle, it consumes itself to light the way for others."
"Oscar Wilde","The only thing to do with good advice is to pass it on. It is never of any use to oneself."
"","Life is not measured by the breaths we take, but by the moments that take our breath."
"Honore de Balzac","The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition."
"Jacob Braude","Consider how hard it is to change yourself and you'll understand what little chance you have in trying to change others."
"Vince Lombardi","If you'll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives."
"Oliver Holmes","What lies behind us and what lies before us are small matters compared to what lies within us."
"Dalai Lama","With the realization of ones own potential and self-confidence in ones ability, one can build a better world."
"Nelson Mandela","There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered."
"Robert Anthony","Forget about all the reasons why something may not work. You only need to find one good reason why it will."
"Aristotle","It is the mark of an educated mind to be able to entertain a thought without accepting it."
"Washington Irving","Love is never lost. If not reciprocated, it will flow back and soften and purify the heart."
"Anne Frank","We all live with the objective of being happy; our lives are all different and yet the same."
"Byron Pulsifer","Many people think of prosperity that concerns money only to forget that true prosperity is of the mind."
"Thich Nhat Hanh","To be beautiful means to be yourself. You don't need to be accepted by others. You need to accept yourself."
"Buddha","Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind."
"Jessamyn West","It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own."
"Plato","Bodily exercise, when compulsory, does no harm to the body; but knowledge which is acquired under compulsion obtains no hold on the mind."
"Bruce Lee","Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it."
"Charlotte Gilman","Let us revere, let us worship, but erect and open-eyed, the highest, not the lowest; the future, not the past!"
"Mother Teresa","Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing."
"Margaret Runbeck","Silences make the real conversations between friends. Not the saying but the never needing to say is what counts."
"Dalai Lama","The key to transforming our hearts and minds is to have an understanding of how our thoughts and emotions work."
"Johann Wolfgang von Goethe","If you must tell me your opinions, tell me what you believe in. I have plenty of douts of my own."
"Ovid","Chance is always powerful. Let your hook be always cast; in the pool where you least expect it, there will be a fish."
"Og Mandino","I seek constantly to improve my manners and graces, for they are the sugar to which all are attracted."
"James Barrie","We never understand how little we need in this world until we know the loss of it."
"","The real measure of your wealth is how much youd be worth if you lost all your money."
"Buddha","To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear."
"Bruce Lee","Take no thought of who is right or wrong or who is better than. Be not for or against."
"Everett Dirksen","I am a man of fixed and unbending principles, the first of which is to be flexible at all times."
"Byron Pulsifer","Today, give a stranger a smile without waiting for it may be the joy they need to have a great day."
"Henry Miller","The moment one gives close attention to anything, even a blade of grass, it becomes a mysterious, awesome, indescribably magnificent world in itself."
"Lao Tzu","At the center of your being you have the answer; you know who you are and you know what you want."
"Niels Bohr","How wonderful that we have met with a paradox. Now we have some hope of making progress."
"Georg Lichtenberg","Everyone is a genius at least once a year. A real genius has his original ideas closer together."
"Anais Nin","Dreams pass into the reality of action. From the actions stems the dream again; and this interdependence produces the highest form of living."
"Gloria Steinem","Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning."
"Byron Pulsifer","Sadness may be part of life but there is no need to let it dominate your entire life."
"Charles Schwab","Keeping a little ahead of conditions is one of the secrets of business, the trailer seldom goes far."
"Epictetus","Nature gave us one tongue and two ears so we could hear twice as much as we speak."
"Barbara Baron","Don't wait for your feelings to change to take the action. Take the action and your feelings will change."
"Richard Bach","You are always free to change your mind and choose a different future, or a different past."
"Lou Holtz","You were not born a winner, and you were not born a loser. You are what you make yourself be."
"Napoleon Hill","Cherish your visions and your dreams as they are the children of your soul, the blueprints of your ultimate achievements."
"Napoleon Hill","Cherish your visions and your dreams as they are the children of your soul; the blueprints of your ultimate achievements."
"Robert Stevenson","To be what we are, and to become what we are capable of becoming, is the only end of life."
"Charles DeLint","The road leading to a goal does not separate you from the destination; it is essentially a part of it."
"Bruce Lee","Take things as they are. Punch when you have to punch. Kick when you have to kick."
"Albert Einstein","I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind."
"","Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending."
"Paavo Nurmi","Mind is everything: muscle, pieces of rubber. All that I am, I am because of my mind."
"Anne Frank","How wonderful it is that nobody need wait a single moment before starting to improve the world."
"","A friend is someone who understands your past, believes in your future, and accepts you just the way you are."
"Ralph Emerson","It is one of the blessings of old friends that you can afford to be stupid with them."
"Tryon Edwards","He that never changes his opinions, never corrects his mistakes, and will never be wiser on the morrow than he is today."
"Abraham Lincoln","Give me six hours to chop down a tree and I will spend the first four sharpening the axe."
"E. M. Forster","One must be fond of people and trust them if one is not to make a mess of life."
"David Seamans","We cannot change our memories, but we can change their meaning and the power they have over us."
"Confucius","Being in humaneness is good. If we select other goodness and thus are far apart from humaneness, how can we be the wise?"
"Byron Pulsifer","To give hope to someone occurs when you teach them how to use the tools to do it for themselves."
"Lucille Ball","Id rather regret the things that I have done than the things that I have not done."
"Eckhart Tolle","The past has no power to stop you from being present now. Only your grievance about the past can do that."
"Ralph Emerson","If the stars should appear but one night every thousand years how man would marvel and adore."
"Laurence J. Peter","There are two kinds of failures: those who thought and never did, and those who did and never thought."
"Elizabeth Arden","I'm not interested in age. People who tell me their age are silly. You're as old as you feel."
"Dalai Lama","I find hope in the darkest of days, and focus in the brightest. I do not judge the universe."
"Confucius","When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps."
"Nikola Tesla","Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more."
"Leo Aikman","Blessed is the person who is too busy to worry in the daytime, and too sleepy to worry at night."
"Pablo Picasso","He can who thinks he can, and he can't who thinks he can't. This is an inexorable, indisputable law."
"Vernon Cooper","These days people seek knowledge, not wisdom. Knowledge is of the past, wisdom is of the future."
"Benjamin Disraeli","One secret of success in life is for a man to be ready for his opportunity when it comes."
"Dalai Lama","People take different roads seeking fulfilment and happiness. Just because theyre not on your road doesn't mean they've gotten lost."
"Carl Jung","The shoe that fits one person pinches another; there is no recipe for living that suits all cases."
"Buddha","There are only two mistakes one can make along the road to truth; not going all the way, and not starting."
"Marcus Aurelius","Very little is needed to make a happy life; it is all within yourself, in your way of thinking."
"","Giving up doesn't always mean you are weak. Sometimes it means that you are strong enough to let go."
"Johann Wolfgang von Goethe","Treat people as if they were what they ought to be and you help them to become what they are capable of being."
"Thich Nhat Hanh","The most precious gift we can offer anyone is our attention. When mindfulness embraces those we love, they will bloom like flowers."
"Jack Dixon","If you focus on results, you will never change. If you focus on change, you will get results."
"G. K. Chesterton","I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder."
"Denis Waitley","There are two primary choices in life: to accept conditions as they exist, or accept the responsibility for changing them."
"Lao-Tzu","All difficult things have their origin in that which is easy, and great things in that which is small."
"Byron Pulsifer","You can be what you want to be. You have the power within and we will help you always."
"Johannes Gaertner","To speak gratitude is courteous and pleasant, to enact gratitude is generous and noble, but to live gratitude is to touch Heaven."
"Doug Larson","Wisdom is the reward you get for a lifetime of listening when you'd have preferred to talk."
"Charles Lamb","The greatest pleasure I know is to do a good action by stealth, and to have it found out by accident."
"John Muir","When one tugs at a single thing in nature, he finds it attached to the rest of the world."
"Winston Churchill","Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen."
"Helen Keller","The most beautiful things in the world cannot be seen or even touched. They must be felt with the heart."
"Buddha","To live a pure unselfish life, one must count nothing as ones own in the midst of abundance."
"Thomas Edison","Many of life's failures are people who did not realize how close they were to success when they gave up."
"William Ward","When we seek to discover the best in others, we somehow bring out the best in ourselves."
"Michael Jordan","If you accept the expectations of others, especially negative ones, then you never will change the outcome."
"Oliver Holmes","A man may fulfil the object of his existence by asking a question he cannot answer, and attempting a task he cannot achieve."
"Confucius","I am not bothered by the fact that I am unknown. I am bothered when I do not know others."
"Epictetus","He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has."
"Pablo Picasso","I am always doing that which I cannot do, in order that I may learn how to do it."
"Barack Obama","If you're walking down the right path and you're willing to keep walking, eventually you'll make progress."
"Ivy Baker Priest","The world is round and the place which may seem like the end may also be the beginning."
"","Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it."
"Danielle Ingrum","Give it all you've got because you never know if there's going to be a next time."
"Old German proverb","You have to take it as it happens, but you should try to make it happen the way you want to take it."
"Ralph Blum","Nothing is predestined: The obstacles of your past can become the gateways that lead to new beginnings."
"Bruce Lee","Im not in this world to live up to your expectations and you're not in this world to live up to mine."
"Thich Nhat Hanh","Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy."
"Walter Cronkite","I can't imagine a person becoming a success who doesn't give this game of life everything hes got."
"Socrates","The greatest way to live with honor in this world is to be what we pretend to be."
"Seneca","The conditions of conquest are always easy. We have but to toil awhile, endure awhile, believe always, and never turn back."
"Chalmers","The grand essentials of happiness are: something to do, something to love, and something to hope for."
"Thich Nhat Hanh","By living deeply in the present moment we can understand the past better and we can prepare for a better future."
"Ralph Emerson","Do not be too timid and squeamish about your reactions. All life is an experiment. The more experiments you make the better."
"Ralph Emerson","Do not go where the path may lead, go instead where there is no path and leave a trail."
"Robert Louis Stevenson","There is no duty we so underrate as the duty of being happy. By being happy we sow anonymous benefits upon the world."
"Napoleon Hill","Edison failed 10,000 times before he made the electric light. Do not be discouraged if you fail a few times."
"","Yesterday is history. Tomorrow is a mystery. And today? Today is a gift that's why they call it the present."
"Henry Thoreau","The only way to tell the truth is to speak with kindness. Only the words of a loving man can be heard."
"Benjamin Disraeli","The greatest good you can do for another is not just to share your riches but to reveal to him his own."
"Brian Tracy","You can only grow if you're willing to feel awkward and uncomfortable when you try something new."
"Joan Didion","To free us from the expectations of others, to give us back to ourselves, there lies the great, singular power of self-respect."
"Mabel Newcomber","It is more important to know where you are going than to get there quickly. Do not mistake activity for achievement."
"","When you don't know what you believe, everything becomes an argument. Everything is debatable. But when you stand for something, decisions are obvious."
"Robert Graves","Intuition is the supra-logic that cuts out all the routine processes of thought and leaps straight from the problem to the answer."
"Frank Wright","The thing always happens that you really believe in; and the belief in a thing makes it happen."
"Francois de La Rochefoucauld","A true friend is the most precious of all possessions and the one we take the least thought about acquiring."
"Epictetus","There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will."
"Margaret Cousins","Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary."
"","Every sixty seconds you spend angry, upset or mad, is a full minute of happiness you'll never get back."
"Thomas Carlyle","This world, after all our science and sciences, is still a miracle; wonderful, inscrutable, magical and more, to whosoever will think of it."
"Pearl Buck","Every great mistake has a halfway moment, a split second when it can be recalled and perhaps remedied."
"Catherine Pulsifer","You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action."
"Alfred Tennyson","The happiness of a man in this life does not consist in the absence but in the mastery of his passions."
"Margaret Mead","Never doubt that a small group of thoughtful, committed people can change the world. Indeed. It is the only thing that ever has."
"Ovid","Let your hook always be cast; in the pool where you least expect it, there will be a fish."
"Remez Sasson","You get peace of mind not by thinking about it or imagining it, but by quietening and relaxing the restless mind."
"Richard Bach","Your friends will know you better in the first minute you meet than your acquaintances will know you in a thousand years."
"Pema Chodron","When you begin to touch your heart or let your heart be touched, you begin to discover that it's bottomless."
"Richard Bach","If you love someone, set them free. If they come back they're yours; if they don't they never were."
"David Jordan","Wisdom is knowing what to do next; Skill is knowing how to do it, and Virtue is doing it."
"Richard Bach","Bad things are not the worst things that can happen to us. Nothing is the worst thing that can happen to us!"
"Alan Watts","No valid plans for the future can be made by those who have no capacity for living now."
"Oscar Wilde","The aim of life is self-development. To realize ones nature perfectly, that is what each of us is here for."
"Anatole France","To accomplish great things, we must not only act, but also dream; not only plan, but also believe."
"Thomas Edison","The first requisite for success is the ability to apply your physical and mental energies to one problem incessantly without growing weary."
"John Steinbeck","If we could learn to like ourselves, even a little, maybe our cruelties and angers might melt away."
"","If we are facing in the right direction, all we have to do is keep on walking."
"Eleanor Roosevelt","Remember always that you not only have the right to be an individual, you have an obligation to be one."
"Denis Waitley","There are two primary choices in life: to accept conditions as they exist, or accept responsibility for changing them."
"Epictetus","If you seek truth you will not seek victory by dishonourable means, and if you find truth you will become invincible."
"Eknath Easwaran","Through meditation and by giving full attention to one thing at a time, we can learn to direct attention where we choose."
"Helen Keller","We could never learn to be brave and patient if there were only joy in the world."
"Marcus Aurelius","If it is not right do not do it; if it is not true do not say it."
"Norman Schwarzkopf","The truth of the matter is that you always know the right thing to do. The hard part is doing it."
"Julie Morgenstern","Some people thrive on huge, dramatic change. Some people prefer the slow and steady route. Do what's right for you."
"Blaise Pascal","Man is equally incapable of seeing the nothingness from which he emerges and the infinity in which he is engulfed."
"Laura Teresa Marquez","Arrogance and rudeness are training wheels on the bicycle of life, for weak people who cannot keep their balance without them."
"Chinese proverb","If you are patient in one moment of anger, you will escape one hundred days of sorrow."
"Abraham Lincoln","When you have got an elephant by the hind legs and he is trying to run away, it's best to let him run."
"Byron Pulsifer","Courage is not about taking risks unknowingly but putting your own being in front of challenges that others may not be able to."
"Richard Bach","Can miles truly separate you from friends... If you want to be with someone you love, aren't you already there?"
"Harry Kemp","The poor man is not he who is without a cent, but he who is without a dream."
"Benjamin Disraeli","The greatest good you can do for another is not just share your riches, but reveal to them their own."
"Buddha","Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."
"","Peace of mind is not the absence of conflict from life, but the ability to cope with it."
"Helen Keller","Face your deficiencies and acknowledge them; but do not let them master you. Let them teach you patience, sweetness, insight."
"John Kennedy","Change is the law of life. And those who look only to the past or present are certain to miss the future."
"Marcus Aurelius","You have power over your mind, not outside events. Realize this, and you will find strength."
"Louis Pasteur","Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity."
"Buddha","We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world."
"Henry Longfellow","He that respects himself is safe from others; he wears a coat of mail that none can pierce."
"Wayne Dyer","I cannot always control what goes on outside. But I can always control what goes on inside."
"Daisaku Ikeda","What matters is the value we've created in our lives, the people we've made happy and how much we've grown as people."
"Epictetus","When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger."
"Rumi","Everyone has been made for some particular work, and the desire for that work has been put in every heart."
"Napoleon Bonaparte","Take time to deliberate, but when the time for action has arrived, stop thinking and go in."
"Dalai Lama","With realization of ones own potential and self-confidence in ones ability, one can build a better world."
"Franklin Roosevelt","Happiness is not in the mere possession of money; it lies in the joy of achievement, in the thrill of creative effort."
"Pearl Buck","You cannot make yourself feel something you do not feel, but you can make yourself do right in spite of your feelings."
"Mary Kay Ash","Those who are blessed with the most talent don't necessarily outperform everyone else. It's the people with follow-through who excel."
"Albert Einstein","Try not to become a man of success, but rather try to become a man of value."
"Sophocles","Men of perverse opinion do not know the excellence of what is in their hands, till some one dash it from them."
"Rene Descartes","It is not enough to have a good mind; the main thing is to use it well."
"Byron Pulsifer","Responsibility is not inherited, it is a choice that everyone needs to make at some point in their life."
"Amelia Earhart","Never do things others can do and will do, if there are things others cannot do or will not do."
"Jimmy Dean","I can't change the direction of the wind, but I can adjust my sails to always reach my destination."
"George Allen","People of mediocre ability sometimes achieve outstanding success because they don't know when to quit. Most men succeed because they are determined to."
"Joseph Roux","A fine quotation is a diamond on the finger of a man of wit, and a pebble in the hand of a fool."
"Bernice Reagon","Life's challenges are not supposed to paralyse you, they're supposed to help you discover who you are."
"Socrates","The greatest way to live with honour in this world is to be what we pretend to be."
"Henri Bergson","To exist is to change, to change is to mature, to mature is to go on creating oneself endlessly."
"Albert Einstein","Try not to become a man of success but rather try to become a man of value."
"Byron Pulsifer","You can't create in a vacuum. Life gives you the material and dreams can propel new beginnings."
"Buddha","Your work is to discover your world and then with all your heart give yourself to it."
"Daisaku Ikeda","The person who lives life fully, glowing with life's energy, is the person who lives a successful life."
"Richard Bach","Don't turn away from possible futures before you're certain you don't have anything to learn from them."
"David Brinkley","A successful person is one who can lay a firm foundation with the bricks that others throw at him or her."
"Buddha","All that we are is the result of what we have thought. The mind is everything. What we think we become."
"Henri-Frederic Amiel","Work while you have the light. You are responsible for the talent that has been entrusted to you."
"William Shakespeare","How far that little candle throws its beams! So shines a good deed in a naughty world."
"Napoleon Hill","Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit."
"Tony Robbins","It is in your moments of decision that your destiny is shaped."
"","An obstacle may be either a stepping stone or a stumbling block."
"Pierre Auguste Renoir","The pain passes, but the beauty remains."
"Bob Newhart","All I can say about life is, Oh God, enjoy it!"
"Rita Mae Brown","Creativity comes from trust. Trust your instincts. And never hope more than you work."
"Lululemon","Your outlook on life is a direct reflection on how much you like yourself."
"Lao Tzu","I have just three things to teach: simplicity, patience, compassion. These three are your greatest treasures."
"Kin Hubbard","You won't skid if you stay in a rut."
"Mary Morrissey","You block your dream when you allow your fear to grow bigger than your faith."
"Aristotle","Happiness depends upon ourselves."
"Albert Schweitzer","Wherever a man turns he can find someone who needs him."
"Maya Angelou","If one is lucky, a solitary fantasy can totally transform one million realities."
"Leo Buscaglia","Never idealize others. They will never live up to your expectations."
"Lao Tzu","When you realize there is nothing lacking, the whole world belongs to you."
"Dalai Lama","Happiness is not something ready made. It comes from your own actions."
"Peter Elbow","Meaning is not what you start with but what you end up with."
"Anne Frank","No one has ever become poor by giving."
"Mother Teresa","Be faithful in small things because it is in them that your strength lies."
"Heraclitus","All is flux; nothing stays still."
"Leonardo da Vinci","He who is fixed to a star does not change his mind."
"Marcus Aurelius","He who lives in harmony with himself lives in harmony with the universe."
"Sophocles","Ignorant men don't know what good they hold in their hands until they've flung it away."
"Albert Einstein","When the solution is simple, God is answering."
"Napoleon Hill","All achievements, all earned riches, have their beginning in an idea."
"Publilius Syrus","Do not turn back when you are just at the goal."
"Byron Pulsifer","You can't trust without risk but neither can you live in a cocoon."
"Rudolf Arnheim","All perceiving is also thinking, all reasoning is also intuition, all observation is also invention."
"Channing","Error is discipline through which we advance."
"Pearl Buck","The truth is always exciting. Speak it, then. Life is dull without it."
"Confucius","The superior man is modest in his speech, but exceeds in his actions."
"Voltaire","The longer we dwell on our misfortunes, the greater is their power to harm us."
"Cervantes","Those who will play with cats must expect to be scratched."
"","I've never seen a smiling face that was not beautiful."
"Aristotle","In all things of nature there is something of the marvellous."
"Marcus Aurelius","The universe is transformation; our life is what our thoughts make it."
"Samuel Johnson","Memory is the mother of all wisdom."
"Confucius","Silence is the true friend that never betrays."
"Napoleon Hill","You might well remember that nothing can bring you success but yourself."
"Benjamin Franklin","Watch the little things; a small leak will sink a great ship."
"William Shakespeare","God has given you one face, and you make yourself another."
"Confucius","To be wronged is nothing unless you continue to remember it."
"","Kindness is the greatest wisdom."
"Tehyi Hsieh","Action will remove the doubts that theory cannot solve."
"","Don't miss all the beautiful colors of the rainbow looking for that pot of gold."
"Napoleon Hill","Your big opportunity may be right where you are now."
"Chinese proverb","People who say it cannot be done should not interrupt those who are doing it."
"Japanese proverb","The day you decide to do it is your lucky day."
"Cicero","We must not say every mistake is a foolish one."
"George Patton","Accept challenges, so that you may feel the exhilaration of victory."
"Anatole France","It is better to understand a little than to misunderstand a lot."
"","You don't drown by falling in water. You drown by staying there."
"","Never be afraid to try, remember... Amateurs built the ark, Professionals built the Titanic."
"Johann Wolfgang von Goethe","Correction does much, but encouragement does more."
"Epictetus","Know, first, who you are, and then adorn yourself accordingly."
"Oprah Winfrey","The biggest adventure you can ever take is to live the life of your dreams."
"Charles Swindoll","Life is 10% what happens to you and 90% how you react to it."
"Cynthia Ozick","To want to be what one can be is purpose in life."
"Dalai Lama","Remember that sometimes not getting what you want is a wonderful stroke of luck."
"Winston Churchill","History will be kind to me for I intend to write it."
"Wayne Dyer","Our lives are a sum total of the choices we have made."
"Leonardo da Vinci","Time stays long enough for anyone who will use it."
"","Never tell me the sky's the limit when there are footprints on the moon."
"Denis Waitley","You must welcome change as the rule but not as your ruler."
"Jim Rohn","Give whatever you are doing and whoever you are with the gift of your attention."
"Lena Horne","Always be smarter than the people who hire you."
"Tom Peters","Formula for success: under promise and over deliver."
"Henri Bergson","The eye sees only what the mind is prepared to comprehend."
"Lee Mildon","People seldom notice old clothes if you wear a big smile."
"Shakti Gawain","The more light you allow within you, the brighter the world you live in will be."
"Walter Anderson","Nothing diminishes anxiety faster than action."
"Andre Gide","Man cannot discover new oceans unless he has the courage to lose sight of the shore."
"Carl Jung","Everything that irritates us about others can lead us to an understanding about ourselves."
"Sun Tzu","Can you imagine what I would do if I could do all I can?"
"Benjamin Disraeli","Ignorance never settle a question."
"Paul Cezanne","The awareness of our own strength makes us modest."
"Confucius","They must often change, who would be constant in happiness or wisdom."
"Tom Krause","There are no failures. Just experiences and your reactions to them."
"Frank Tyger","Your future depends on many things, but mostly on you."
"Dorothy Thompson","Fear grows in darkness; if you think theres a bogeyman around, turn on the light."
"Shunryu Suzuki","The most important point is to accept yourself and stand on your two feet."
"Tomas Eliot","Do not expect the world to look bright, if you habitually wear gray-brown glasses."
"Donald Trump","As long as your going to be thinking anyway, think big."
"John Dewey","Without some goals and some efforts to reach it, no man can live."
"Richard Braunstein","He who obtains has little. He who scatters has much."
"George Orwell","Myths which are believed in tend to become true."
"Buddha","The foot feels the foot when it feels the ground."
"John Petit-Senn","Not what we have but what we enjoy constitutes our abundance."
"George Eliot","It is never too late to be what you might have been."
"Mary Wollstonecraft","The beginning is always today."
"Sheldon Kopp","In the long run we get no more than we have been willing to risk giving."
"Ralph Emerson","Self-trust is the first secret of success."
"Satchel Paige","Don't look back. Something might be gaining on you."
"Marcus Aurelius","Look back over the past, with its changing empires that rose and fell, and you can foresee the future, too."
"George Bernard Shaw","A life spent making mistakes is not only more honourable, but more useful than a life spent doing nothing."
"Epictetus","Men are disturbed not by things, but by the view which they take of them."
"Blaise Pascal","Imagination disposes of everything; it creates beauty, justice, and happiness, which are everything in this world."
"Mark Twain","Happiness is a Swedish sunset, it is there for all, but most of us look the other way and lose it."
"","A smile is a light in the window of your face to show your heart is at home."
"Byron Pulsifer","Look forward to spring as a time when you can start to see what nature has to offer once again."
"Billy Wilder","Trust your own instinct. Your mistakes might as well be your own, instead of someone elses."
"Blaise Pascal","The least movement is of importance to all nature. The entire ocean is affected by a pebble."
"Pablo Picasso","I am always doing that which I can not do, in order that I may learn how to do it."
"Niccolo Machiavelli","Men in general judge more from appearances than from reality. All men have eyes, but few have the gift of penetration."
"","You may only be someone in the world, but to someone else, you may be the world."
"Henry Ward Beecher","Every artist dips his brush in his own soul, and paints his own nature into his pictures."
"James Faust","If you take each challenge one step at a time, with faith in every footstep, your strength and understanding will increase."
"Denis Waitley","Happiness cannot be travelled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace and gratitude."
"Hasidic saying","Everyone should carefully observe which way his heart draws him, and then choose that way with all his strength."
"Joseph Campbell","When we quit thinking primarily about ourselves and our own self-preservation, we undergo a truly heroic transformation of consciousness."
"Dhammapada","Do not give your attention to what others do or fail to do; give it to what you do or fail to do."
"Peter Drucker","Follow effective action with quiet reflection. From the quiet reflection will come even more effective action."
"Bernice Reagon","Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are."
"Fannie Hamer","There is one thing you have got to learn about our movement. Three people are better than no people."
"Ralph Waldo Emerson","Happiness is a perfume you cannot pour on others without getting a few drops on yourself."
"Byron Roberts","It is not the mistake that has the most power, instead, it is learning from the mistake to advance your own attributes."
"Thich Nhat Hanh","The amount of happiness that you have depends on the amount of freedom you have in your heart."
"Carl Jung","Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside, awakens."
"Babatunde Olatunji","Yesterday is history. Tomorrow is a mystery. And today? Today is a gift. That is why we call it the present."
"Tony Robbins","The way we communicate with others and with ourselves ultimately determines the quality of our lives."
"Tony Blair","Sometimes it is better to lose and do the right thing than to win and do the wrong thing."
"Mother Teresa","Let us always meet each other with smile, for the smile is the beginning of love."
"","A bend in the road is not the end of the road...unless you fail to make the turn."
"Aristotle","We are what we repeatedly do. Excellence, then, is not an act, but a habit."
"Ray Bradbury","Living at risk is jumping off the cliff and building your wings on the way down."
"Albert Camus","In the depth of winter, I finally learned that there was within me an invincible summer."
"Madame de Stael","Wit lies in recognizing the resemblance among things which differ and the difference between things which are alike."
"Elbert Hubbard","A failure is a man who has blundered but is not capable of cashing in on the experience."
"Herbert Swope","I cannot give you the formula for success, but I can give you the formula for failure: which is: Try to please everybody."
"","One who asks a question is a fool for five minutes; one who does not ask a question remains a fool forever."
"Laozi","The power of intuitive understanding will protect you from harm until the end of your days."
"Abraham Lincoln","The best thing about the future is that it only comes one day at a time."
"Epictetus","We have two ears and one mouth so that we can listen twice as much as we speak."
"Byron Pulsifer","Fear of failure is one attitude that will keep you at the same point in your life."
"Ed Cunningham","Friends are those rare people who ask how we are and then wait to hear the answer."
"Pema Chodron","If we learn to open our hearts, anyone, including the people who drive us crazy, can be our teacher."
"Eleanor Roosevelt","People grow through experience if they meet life honestly and courageously. This is how character is built."
"Ralph Waldo Emerson","A hero is no braver than an ordinary man, but he is braver five minutes longer."
"Angela Schwindt","While we try to teach our children all about life, our children teach us what life is all about."
"Wayne Dyer","When you dance, your purpose is not to get to a certain place on the floor. It's to enjoy each step along the way."
"Dalai Lama","Genuine love should first be directed at oneself, if we do not love ourselves, how can we love others?"
"Orison Marden","The Creator has not given you a longing to do that which you have no ability to do."
"Sam Levenson","It's so simple to be wise. Just think of something stupid to say and then don't say it."
"Dalai Lama","Consider that not only do negative thoughts and emotions destroy our experience of peace, they also undermine our health."
"Doris Mortman","Until you make peace with who you are, you will never be content with what you have."
"Buddha","No one saves us but ourselves. No one can and no one may. We ourselves must walk the path."
